id,customer_id,employee_id,order_date,status,total_amount
order_47,cust_52,emp_40,2016-06-08,Cancelled,1454.46
order_48,cust_39,emp_7,2019-02-14,Cancelled,31642.68
order_49,cust_77,emp_21,2025-07-06,Cancelled,160683.69
order_50,cust_13,emp_19,2026-06-28,Completed,73861.98
order_51,cust_71,emp_7,2021-05-18,Cancelled,25935.88
order_52,cust_61,emp_28,2011-11-22,Completed,65030.77
order_53,cust_34,emp_54,2025-12-17,Completed,79268.83
order_54,cust_35,emp_15,2023-01-04,Cancelled,47152.2
order_55,cust_73,emp_28,2020-04-03,Pending,22443.57
order_56,cust_35,emp_43,2025-08-20,Completed,180330.29
order_57,cust_30,emp_54,2022-01-29,Completed,68355.2
order_58,cust_23,emp_40,2025-05-29,Pending,188267.11
order_59,cust_43,emp_32,2023-09-24,Pending,47152.2
order_60,cust_64,emp_28,2025-04-19,Completed,7481.19
order_61,cust_33,emp_32,2022-01-25,Completed,124772.42
order_62,cust_80,emp_40,2023-04-15,Cancelled,42877.02
order_63,cust_17,emp_28,2017-08-13,Pending,233377.86
order_64,cust_12,emp_21,2019-12-21,Pending,215814.94
order_65,cust_32,emp_39,2024-06-20,Completed,82383.65
order_66,cust_9,emp_26,2021-02-21,Cancelled,164005.49
order_67,cust_85,emp_40,2026-03-12,Completed,53656.77
order_68,cust_71,emp_49,2023-11-08,Pending,74159.45
order_69,cust_49,emp_35,2024-08-11,Cancelled,80974.04
order_70,cust_43,emp_11,2026-01-07,Pending,133356.49
order_71,cust_34,emp_32,2022-06-20,Completed,178142.16
order_72,cust_80,emp_7,2018-08-21,Completed,52144.37
order_73,cust_39,emp_1,2016-11-08,Completed,104775.16
order_74,cust_68,emp_37,2022-07-02,Pending,83007.65
order_75,cust_80,emp_21,2024-07-13,Completed,38770.38
order_76,cust_2,emp_39,2021-08-06,Completed,107185.8
order_77,cust_82,emp_37,2026-03-18,Completed,95789.82
order_78,cust_49,emp_54,2021-03-12,Completed,65915.26
order_79,cust_78,emp_40,2025-09-09,Completed,91691.58
order_80,cust_85,emp_15,2024-11-11,Completed,13458.05
order_81,cust_57,emp_2,2025-06-21,Completed,121007.85
order_82,cust_17,emp_49,2019-05-17,Pending,99399.84
order_83,cust_10,emp_15,2015-04-04,Pending,153543.97
order_84,cust_48,emp_26,2023-02-12,Completed,194747.07
order_85,cust_79,emp_21,2026-03-20,Completed,53832.2
order_86,cust_84,emp_37,2017-10-08,Completed,88935.2
order_87,cust_13,emp_21,2025-07-02,Pending,43959.12
order_88,cust_76,emp_15,2019-07-02,Pending,56172.6
order_89,cust_36,emp_2,2026-03-02,Completed,71301.2
order_90,cust_70,emp_34,2011-10-21,Completed,166859.36
order_91,cust_43,emp_21,2017-08-17,Completed,86073.25
order_92,cust_30,emp_32,2024-03-06,Completed,93446.39
order_93,cust_70,emp_26,2014-05-11,Completed,32627.54
order_94,cust_46,emp_21,2020-07-04,Cancelled,102432.73
order_95,cust_15,emp_7,2024-10-27,Completed,271567.35
order_96,cust_85,emp_43,2023-01-12,Pending,175726.36
order_97,cust_10,emp_7,2014-12-08,Cancelled,73416.0
order_98,cust_71,emp_32,2023-11-23,Completed,53708.88
order_99,cust_56,emp_39,2023-03-07,Completed,54377.23
order_100,cust_48,emp_15,2025-08-07,Cancelled,216523.52
order_101,cust_8,emp_54,2022-09-13,Cancelled,127331.09
order_102,cust_40,emp_34,2016-11-25,Completed,12688.98
order_103,cust_72,emp_34,2022-01-24,Cancelled,170179.6
order_104,cust_4,emp_26,2022-06-06,Completed,79692.66
order_105,cust_24,emp_15,2025-07-20,Pending,236841.49
order_106,cust_44,emp_16,2016-10-09,Cancelled,99470.91
order_107,cust_7,emp_7,2019-02-25,Completed,92784.95
order_108,cust_56,emp_11,2023-06-28,Completed,134346.8
order_109,cust_39,emp_19,2024-12-11,Completed,53906.3
order_110,cust_64,emp_37,2024-01-14,Cancelled,43922.13
order_111,cust_46,emp_7,2015-07-06,Pending,6483.97
order_112,cust_10,emp_32,2021-05-27,Completed,78504.48
order_113,cust_80,emp_39,2021-06-27,Completed,6483.97
order_114,cust_56,emp_54,2024-02-23,Completed,6553.17
order_115,cust_29,emp_32,2017-12-29,Cancelled,13807.84
order_116,cust_66,emp_19,2023-04-19,Completed,23758.13
order_117,cust_23,emp_15,2026-03-05,Pending,62869.6
order_118,cust_73,emp_54,2020-05-13,Pending,60485.31
order_119,cust_81,emp_28,2017-01-07,Completed,45248.6
order_120,cust_40,emp_39,2020-10-22,Completed,35103.0
order_121,cust_10,emp_7,2021-07-04,Cancelled,203866.15
order_122,cust_61,emp_43,2014-07-17,Completed,7481.19
order_123,cust_11,emp_43,2021-03-29,Cancelled,58598.16
order_124,cust_67,emp_16,2021-08-20,Completed,56085.46
order_125,cust_9,emp_32,2013-12-15,Completed,93935.41
order_126,cust_84,emp_35,2018-01-17,Pending,64465.9
order_127,cust_83,emp_32,2014-06-30,Cancelled,53832.2
order_128,cust_47,emp_1,2025-03-18,Completed,98942.66
order_129,cust_20,emp_7,2019-02-27,Cancelled,69039.2
order_130,cust_5,emp_32,2018-03-01,Completed,173528.35
order_131,cust_57,emp_28,2025-12-15,Pending,132455.55
order_132,cust_60,emp_28,2019-02-06,Completed,143423.65
order_133,cust_67,emp_11,2020-10-01,Pending,47152.2
order_134,cust_66,emp_15,2024-04-13,Completed,11794.16
order_135,cust_4,emp_37,2022-07-26,Completed,49038.47
order_136,cust_13,emp_32,2021-02-10,Pending,72590.36
order_137,cust_58,emp_1,2026-03-15,Completed,48941.31
order_138,cust_20,emp_49,2026-03-06,Cancelled,123306.55
order_139,cust_59,emp_7,2018-06-08,Pending,191237.15
order_140,cust_1,emp_34,2018-06-19,Cancelled,246304.95
order_141,cust_71,emp_1,2024-01-01,Completed,68317.01
order_142,cust_85,emp_11,2025-09-01,Pending,56838.59
order_143,cust_62,emp_16,2020-10-11,Completed,7481.19
order_144,cust_26,emp_2,2024-04-11,Pending,53823.95
order_145,cust_70,emp_40,2016-02-16,Completed,26916.1
order_146,cust_46,emp_2,2026-01-09,Pending,184581.0
order_147,cust_44,emp_16,2019-08-08,Completed,220990.63
order_148,cust_70,emp_28,2017-08-25,Completed,69779.85
order_149,cust_40,emp_39,2022-07-01,Completed,164501.37
order_150,cust_82,emp_2,2022-10-05,Completed,166322.01
order_151,cust_9,emp_21,2026-04-22,Pending,69178.49
order_152,cust_48,emp_34,2019-12-18,Cancelled,49206.82
order_153,cust_47,emp_35,2024-12-09,Pending,181163.89
order_154,cust_72,emp_11,2022-11-21,Completed,71402.62
order_155,cust_10,emp_39,2014-07-22,Completed,202544.01
order_156,cust_82,emp_16,2024-05-14,Pending,75433.66
order_157,cust_4,emp_34,2025-05-16,Completed,46043.85
order_158,cust_51,emp_40,2020-01-27,Cancelled,140004.04
order_159,cust_45,emp_15,2025-10-29,Completed,10120.12
order_160,cust_67,emp_15,2020-12-18,Cancelled,42667.37
order_161,cust_37,emp_7,2017-06-21,Completed,56195.49
order_162,cust_79,emp_49,2020-01-01,Cancelled,76122.92
order_163,cust_78,emp_32,2025-09-29,Completed,16313.77
order_164,cust_83,emp_54,2017-07-26,Pending,129501.02
order_165,cust_81,emp_49,2017-08-30,Completed,47682.11
order_166,cust_21,emp_39,2021-10-28,Completed,79462.08
order_167,cust_48,emp_43,2022-08-09,Pending,7488.38
order_168,cust_16,emp_26,2017-09-06,Pending,71000.7
order_169,cust_79,emp_37,2021-09-26,Completed,60439.39
order_170,cust_64,emp_43,2025-09-02,Completed,219520.3
order_171,cust_75,emp_34,2019-10-22,Cancelled,51572.72
order_172,cust_84,emp_40,2021-07-24,Completed,93697.96
order_173,cust_34,emp_34,2026-05-24,Cancelled,168941.23
order_174,cust_37,emp_7,2020-07-07,Cancelled,135049.99
order_175,cust_47,emp_15,2024-04-17,Pending,266827.53
order_176,cust_20,emp_43,2015-08-29,Cancelled,146964.95
order_177,cust_44,emp_43,2019-11-27,Cancelled,188979.37
order_178,cust_40,emp_1,2022-06-07,Cancelled,223676.97
order_179,cust_81,emp_35,2014-03-04,Completed,60907.82
order_180,cust_57,emp_32,2025-01-07,Cancelled,97397.58
order_181,cust_61,emp_2,2014-04-04,Pending,50363.63
order_182,cust_41,emp_16,2022-10-31,Completed,103094.31
order_183,cust_36,emp_49,2025-01-25,Completed,79618.56
order_184,cust_62,emp_34,2025-07-20,Completed,256577.5
order_185,cust_19,emp_28,2018-04-12,Completed,120941.11
order_186,cust_69,emp_26,2023-12-21,Cancelled,72906.85
order_187,cust_29,emp_21,2015-05-27,Pending,19451.91
order_188,cust_13,emp_15,2019-07-14,Completed,48404.92
order_189,cust_42,emp_28,2026-05-14,Completed,116299.75
order_190,cust_69,emp_2,2019-08-19,Completed,79956.71
order_191,cust_73,emp_11,2025-09-28,Cancelled,110212.0
order_192,cust_60,emp_26,2014-11-10,Pending,7488.38
order_193,cust_83,emp_26,2015-10-22,Cancelled,11232.57
order_194,cust_25,emp_16,2025-06-05,Pending,93752.0
order_195,cust_42,emp_21,2012-01-12,Cancelled,37842.36
order_196,cust_74,emp_1,2021-12-26,Pending,93746.14
order_197,cust_65,emp_28,2023-03-27,Completed,40374.15
order_198,cust_79,emp_21,2021-05-30,Completed,48574.23
order_199,cust_54,emp_49,2026-06-03,Completed,181245.26
order_200,cust_73,emp_11,2016-01-09,Completed,65028.16
order_201,cust_67,emp_39,2018-11-10,Pending,80776.01
order_202,cust_8,emp_39,2017-11-18,Completed,147078.67
order_203,cust_1,emp_19,2022-04-02,Completed,46804.0
order_204,cust_9,emp_49,2013-03-09,Completed,11234.52
order_205,cust_53,emp_16,2018-01-26,Completed,116335.12
order_206,cust_16,emp_16,2019-08-25,Pending,109352.54
order_207,cust_69,emp_35,2020-03-29,Completed,42111.54
order_208,cust_15,emp_2,2025-11-08,Pending,65621.76
order_209,cust_77,emp_2,2013-08-08,Completed,8737.56
order_210,cust_70,emp_19,2011-09-17,Completed,92081.58
order_211,cust_74,emp_32,2021-09-16,Completed,53178.06
order_212,cust_72,emp_54,2026-05-09,Completed,93226.13
order_213,cust_45,emp_35,2025-04-23,Cancelled,74738.57
order_214,cust_61,emp_21,2016-03-19,Cancelled,80364.91
order_215,cust_68,emp_15,2018-11-27,Pending,55305.46
order_216,cust_48,emp_7,2022-01-07,Cancelled,115159.2
order_217,cust_6,emp_7,2022-12-17,Completed,76580.58
order_218,cust_28,emp_19,2026-06-14,Cancelled,22469.04
order_219,cust_27,emp_35,2014-10-03,Completed,93462.64
order_220,cust_47,emp_43,2025-12-19,Cancelled,133246.13
order_221,cust_29,emp_15,2014-08-02,Completed,145998.81
order_222,cust_43,emp_21,2020-06-22,Pending,57435.57
order_223,cust_83,emp_40,2021-12-19,Pending,96686.44
order_224,cust_24,emp_49,2026-05-25,Completed,13807.84
order_225,cust_7,emp_1,2020-09-22,Completed,19355.13
order_226,cust_28,emp_43,2023-08-12,Cancelled,78311.47
order_227,cust_71,emp_37,2019-10-03,Cancelled,41423.52
order_228,cust_37,emp_1,2023-02-12,Cancelled,187868.88
order_229,cust_33,emp_34,2023-10-07,Completed,161211.54
order_230,cust_84,emp_2,2017-04-01,Pending,42698.3
order_231,cust_56,emp_32,2025-01-26,Completed,13807.84
order_232,cust_28,emp_54,2023-09-21,Completed,188475.79
order_233,cust_41,emp_1,2017-03-03,Cancelled,53073.07
order_234,cust_31,emp_54,2024-10-22,Completed,36363.59
order_235,cust_56,emp_21,2022-04-29,Pending,80830.07
order_236,cust_63,emp_21,2022-06-05,Completed,163249.98
order_237,cust_11,emp_26,2010-11-16,Completed,47029.96
order_238,cust_57,emp_34,2025-12-24,Cancelled,142797.7
order_239,cust_72,emp_43,2023-09-16,Completed,16313.77
order_240,cust_71,emp_7,2026-04-26,Cancelled,86885.82
